Timestamp,Date and Time,MAX,MIN,GUESS
1545696000,2018-12-25T00:00:00,55.7961,15.6903,34.3375
1545782400,2018-12-26T00:00:00,57.2798,15.8058,34.7629
1545868800,2018-12-27T00:00:00,60.3147,16.3693,36.1965
1545955200,2018-12-28T00:00:00,62.7079,16.7594,37.2451
1546041600,2018-12-29T00:00:00,61.3452,16.2248,36.1857
1546128000,2018-12-30T00:00:00,62.0622,16.2248,36.3328
1546214400,2018-12-31T00:00:00,63.728,16.3305,36.7743
1546300800,2019-01-01T00:00:00,64.819,16.4019,37.0805
1546387200,2019-01-02T00:00:00,66.1525,16.534,37.4684
1546473600,2019-01-03T00:00:00,65.9588,16.4841,37.2996
1546560000,2019-01-04T00:00:00,65.7874,16.44,37.146
1546646400,2019-01-05T00:00:00,68.107,17.0374,38.4341
1546732800,2019-01-06T00:00:00,66.9369,16.7361,37.7033
1546819200,2019-01-07T00:00:00,66.0667,16.6758,37.4399
1546905600,2019-01-08T00:00:00,66.6464,16.9937,38.0172
1546992000,2019-01-09T00:00:00,66.7852,17.2004,38.3995
1547078400,2019-01-10T00:00:00,66.847,17.2163,38.435
1547164800,2019-01-11T00:00:00,66.7852,17.2004,38.3995
1547251200,2019-01-12T00:00:00,65.2421,16.803,37.5123
1547337600,2019-01-13T00:00:00,64.8446,16.7394,37.3075
1547424000,2019-01-14T00:00:00,65.5668,16.9694,37.7498
1547510400,2019-01-15T00:00:00,63.5159,16.4804,36.5946
1547596800,2019-01-16T00:00:00,61.3659,16.0874,35.5899
1547683200,2019-01-17T00:00:00,59.35,15.7218,34.6519
1547769600,2019-01-18T00:00:00,58.4872,15.6664,34.3961
1547856000,2019-01-19T00:00:00,57.942,15.6868,34.3142
1547942400,2019-01-20T00:00:00,59.0479,16.1226,35.1996
1548028800,2019-01-21T00:00:00,58.6143,16.1483,35.1844
1548115200,2019-01-22T00:00:00,57.6971,16.115,34.9935
1548201600,2019-01-23T00:00:00,58.1061,16.3314,35.402
1548288000,2019-01-24T00:00:00,59.7933,16.9141,36.6003
1548374400,2019-01-25T00:00:00,59.4433,16.9141,36.5415
1548460800,2019-01-26T00:00:00,60.082,17.1971,37.0931
